id;label;shape;bgcolor;fontcolor;rank;subgraph;subgraphDet;mainGraph;is_terminal;href;tooltip;descr;openSource;keyQuestions;keyLink;path
Project start;Project start;rectangle;#005AB5;white;1;initial;initial;initial;no;;;;;What is the gap in the literature and the resulting research question? || Is funding available to conduct the project? || What are the time plan and work packages of the project? || Who is responsible for what in the project?;https://igor-biodgps.github.io/ARIADNE/contentpages/step1.html#step-1-project-start;
Project start;Project start;rectangle;#005AB5;white;1;ProjectStart;Project Start;ProjectStart;no;;;;;;;
Literature;Literature;diamond;#40B0A6;white;2;ProjectStart;Project Start;ProjectStart;no;;;;;;;
Literature;Literature;diamond;#40B0A6;white;2;Literature;Literature;ProjectStart;no;;;;;;;
Unpaywall;Unpaywall;ellipse;#D41159;white;3;Literature;Literature;ProjectStart;yes;https://unpaywall.org/;https://unpaywall.org/;If you would like to read an article that is not open access, and your institution does not subscribe to the journal, consider Unpaywall.;TRUE;;;Project Start > Literature > Unpaywall
How to get a paper;How to get a paper;ellipse;#D41159;white;3;Literature;Literature;ProjectStart;yes;https://twitter.com/AStrasser116/status/1576648460194807808?s=20&t=9Zfcge_IfN5hzMf7Dt9Pxw;https://twitter.com/AStrasser116/status/1576648460194807808?s=20&t=9Zfcge_IfN5hzMf7Dt9Pxw;How to download academic papers and books for free.;TRUE;;;Project Start > Literature > How to get a paper
Literature Excel organization;Literature Excel organization;ellipse;#D41159;white;3;Literature;Literature;ProjectStart;yes;https://www.youtube.com/watch?v=Y40Wy1guAiQ;https://www.youtube.com/watch?v=Y40Wy1guAiQ;No literature review will ever be the same again, if you use this tutorial to organize all your literature in Excel.;TRUE;;;Project Start > Literature > Literature Excel organization
Elicit;Elicit;ellipse;#D41159;white;3;Literature;Literature;ProjectStart;yes;https://elicit.org/;https://elicit.org/;"Elicit is your AI research assistant that ""uses language models to help you automate research workflows"", by finding ""relevant papers without perfect keyword match"", summarizing ""takeaways from the paper specific to your question"", and extracting relevant information.";HYBRID;;;Project Start > Literature > Elicit
Connected Papers;Connected Papers;ellipse;#D41159;white;3;Literature;Literature;ProjectStart;yes;https://www.connectedpapers.com/;https://www.connectedpapers.com/;"To explore connections between published papers (e.g., for a literature review), use Connected Papers. This is also nice to see the reach of your own research! It is a ""unique, visual tool to help researchers and applied scientists find and explore papers relevant to their field of work"".";HYBRID;;;Project Start > Literature > Connected Papers
Snowball;Snowball;ellipse;#D41159;white;3;Literature;Literature;ProjectStart;yes;https://github.com/shaunabanana/snowball;https://github.com/shaunabanana/snowball;A tool that would find related articles with snowballing method.;TRUE;;;Project Start > Literature > Snowball
Research Rabbit;Research Rabbit;ellipse;#D41159;white;3;Literature;Literature;ProjectStart;yes;https://www.researchrabbit.ai/;https://www.researchrabbit.ai/;Use Research Rabbit to find both germinal and future works from a single (or multiple) works.;TRUE;;;Project Start > Literature > Research Rabbit
Scholarcy;Scholarcy;ellipse;#D41159;white;3;Literature;Literature;ProjectStart;yes;https://www.scholarcy.com/;https://www.scholarcy.com/;Want an AI to summarize literature for you? Wait no more, Scholarcy comes to the rescue.;HYBRID;;;Project Start > Literature > Scholarcy
LitMaps;LitMaps;ellipse;#D41159;white;3;Literature;Literature;ProjectStart;yes;https://www.litmaps.com/;https://www.litmaps.com/;An all-rounder tool for visual research navigation, citation network search, and team synchronization.;HYBRID;;;Project Start > Literature > LitMaps
10 ways to OpenAccess;10 ways to OpenAccess;ellipse;#D41159;white;3;Literature;Literature;ProjectStart;yes;https://alelazic.blogspot.com/2021/11/ten-ways-to-find-open-access-articles.html;https://alelazic.blogspot.com/2021/11/ten-ways-to-find-open-access-articles.html;A list of 10 different ways to get to open-access articles.;TRUE;;;Project Start > Literature > 10 ways to OpenAccess
Consensus;Consensus;ellipse;#D41159;white;3;Literature;Literature;ProjectStart;yes;https://consensus.app/;https://consensus.app/;A search engine that uses AI to extract and summarize findings from scientific work.;HYBRID;;;Project Start > Literature > Consensus
Seaboat;Seaboat;ellipse;#D41159;white;3;Literature;Literature;ProjectStart;yes;https://www.seaboat.io/;https://www.seaboat.io/;This app helps you organize your evaluation of a empirical research, focusing on threats to validity. Read the corresponding paper here: https://psyarxiv.com/fc8v3.;TRUE;;;Project Start > Literature > Seaboat
Semantic Scholar;Semantic Scholar;ellipse;#D41159;white;3;Literature;Literature;ProjectStart;yes;https://www.semanticscholar.org/;https://www.semanticscholar.org/;A free, AI-powered research tool to find scientific literature.;TRUE;;;Project Start > Literature > Semantic Scholar
Improving Statistical Questions by Daniel Lakens;Improving Statistical Questions by Daniel Lakens;ellipse;#D41159;white;3;Literature;Literature;ProjectStart;yes;https://www.coursera.org/learn/improving-statistical-questions;https://www.coursera.org/learn/improving-statistical-questions;The course aims to help you to ask better statistical questions when performing empirical research.;TRUE;;;Project Start > Literature > Improving Statistical Questions by Daniel Lakens
