id,label,shape,background-color,fontcolor,rank,subgraph,connection_from,connection_to,edgeLabel,is_terminal,href,descr,
Project Start,Project Start,rectangle,Purple,white,1,initial,,,,no,NA,NA,
Literature,Literature,diamond,Cyan,white,2,ProjectStart,,,,no,NA,NA,
Unpaywall,Unpaywall,ellipse,#cd6886,white,3,Literature,,,,yes,https://unpaywall.org/,"As an alternative to SciHub, consider Unpaywall.",
How to get a paper,How to get a paper,ellipse,#cd6886,white,3,Literature,,,,yes,https://twitter.com/AStrasser116/status/1576648460194807808?s=20&t=9Zfcge_IfN5hzMf7Dt9Pxw,How to download academic papers and books for free.,
Literature Excel organization,Literature Excel organization,ellipse,#cd6886,white,3,Literature,,,,yes,https://twitter.com/SteMcQuilliam/status/1252241904810557448?s=20,"No literature review will ever be the same again, if you use this tutorial to organize all your literature in Excel.",
Elicit,Elicit,ellipse,#cd6886,white,3,Literature,,,,yes,https://elicit.org/,"Elicit is your AI research assistant that ""uses language models to help you automate research workflows"", by finding ""relevant papers without perfect keyword match"", summarizing ""takeaways from the paper specific to your question"", and extracting relevant information.",
Connected Papers,Connected Papers,ellipse,#cd6886,white,3,Literature,,,,yes,https://www.connectedpapers.com/,"To explore connections between published papers (e.g., for a literature review), use Connected Papers. This is also nice to see the reach of your own research! It is a ""unique, visual tool to help researchers and applied scientists find and explore papers relevant to their field of work"".",
Snowball,Snowball,ellipse,#cd6886,white,3,Literature,,,,yes,https://github.com/shaunabanana/snowball,A tool that would find related articles with snowballing method.,
Literature Tracker,Literature Tracker,ellipse,#cd6886,white,3,Literature,,,,yes,https://scribehow.com/shared/How_to_create_a_literature_tracker_in_Airtable__Fo0LgLIfR76M3BcazOR9-g?utm_campaign=thoughtsofaphd&utm_source=twitter&utm_medium=organic,Have a look at this useful tutorial to keep your literature organized.,
Research Rabbit,Research Rabbit,ellipse,#cd6886,white,3,Literature,,,,yes,https://www.researchrabbit.ai/,Use Research Rabbit to find both germinal and future works from a single (or multiple) works.,
Scholarcy,Scholarcy,ellipse,#cd6886,white,3,Literature,,,,yes,https://www.scholarcy.com/,"Want an AI to summarize literature for you? Wait no more, Scholarcy comes to the rescue.",
LitMaps,LitMaps,ellipse,#cd6886,white,3,Literature,,,,yes,https://www.litmaps.com/,"An all-rounder tool for visual research navigation, citation network search, and team synchronization.",
10 ways to OpenAccess,10 ways to OpenAccess,ellipse,#cd6886,white,3,Literature,,,,yes,https://alelazic.blogspot.com/2021/11/ten-ways-to-find-open-access-articles.html,A list of 10 different ways to get to open-access articles.,
Ways to a scientific paper,Ways to a scientific paper,ellipse,#cd6886,white,3,Literature,,,,yes,https://twitter.com/AStrasser116/status/1576648460194807808?s=20&t=9Zfcge_IfN5hzMf7Dt9Pxw,Many roads lead to you being able to read a scientific paper...check your options in this handy flowchart.,
Consensus,Consensus,ellipse,#cd6886,white,3,Literature,,,,yes,https://consensus.app/,A search engine that uses AI to extract and summarize findings from scientific work.,
Seaboat,Seaboat,ellipse,#cd6886,white,3,Literature,,,,yes,https://www.seaboat.io/,"This app helps you organize your evaluation of a empirical research, focusing on threats to validity. Read the corresponding paper here: https://psyarxiv.com/fc8v3.",
Semantic Scholar,Semantic Scholar,ellipse,#cd6886,white,3,Literature,,,,yes,https://www.semanticscholar.org/,"A free, AI-powered research tool to find scientific literature.",
Funding,Funding,diamond,Cyan,white,2,ProjectStart,,,,no,NA,NA,
Postdoc funding,Postdoc funding,ellipse,#cd6886,white,3,Funding,,,,yes,https://research.jhu.edu/rdt/funding-opportunities/postdoctoral/,Find a list of postdoctoral funding opportunities (there are also separate lists for neuroscience/neurology and cancer/oncology).,Find a list of postdoctoral funding opportunities (there are also separate lists for neuroscience/neurology and cancer/oncology).
Organization,Organization,diamond,Cyan,white,2,ProjectStart,,,,no,NA,NA,
Brainverse,Brainverse,ellipse,#cd6886,white,3,Organization,,,,yes,https://github.com/ReproNim/brainverse,"A neat, open-source, cross-platform tool for notetaking, experiment planning and a labbook tool.",
Notion,Notion,ellipse,#cd6886,white,3,Organization,,,,yes,http://notion.so/,"Notion is the best application there is to keep all your (PhD) note-taking mess in one place. If you want to save Tweets and Threads automatically to Notion, use this tutorial: https://twitter.com/SaveToNotion/status/1462012037568073728?s=20&t=KLSbjBQ3HEL1LYlqklKRzA.",
Trello,Trello,ellipse,#cd6886,white,3,Organization,,,,yes,https://trello.com/,Trello helps you stay organized and work together with others by letting you create lists about anything you want.,
The Good Research Code Handbook,The Good Research Code Handbook,ellipse,#cd6886,white,3,Organization,,,,yes,https://goodresearch.dev/index.html,Organize your code so that it is easy to understand and works reliably.,
Ganttrify,Ganttrify,ellipse,#cd6886,white,3,Organization,,,,yes,https://github.com/giocomai/ganttrify,Check out this handy tool to create Gantt charts in R.,
Miro,Miro,ellipse,#cd6886,white,3,Organization,,,,yes,https://miro.com/,"You can use Miro for creating visual presentations of anything, and most of all, for collaboration with others! The possibilities are endless.",
Toggl,Toggl,ellipse,#cd6886,white,3,Organization,,,,yes,https://toggl.com/,Time tracking software to boost performance and get paid for every billable minute. An intuitive tool that makes time tracking painless for the entire team.,
Time Graphic,Time Graphic,ellipse,#cd6886,white,3,Organization,,,,yes,https://time.graphics/de/,Free online timeline maker,
Study design,Study design,rectangle,Purple,white,1,initial,,,,no,NA,NA,
Sample size ,Sample size,diamond,Cyan,white,2,Studydesign,,,,no,NA,NA,
Justification Shinyapp,Justification Shinyapp,ellipse,#cd6886,white,3,Samplesize,,,,yes,https://shiny.ieis.tue.nl/sample_size_justification/,"If you need help justifying your sample size, use this Shiny app from Daniel Lakens.",
Justification Paper,Justification Paper,ellipse,#cd6886,white,3,Samplesize,,,,yes,https://psyarxiv.com/9d3yf/,"If you need help justifying your sample size, read this paper.",
g_ci_spm,g_ci_spm,ellipse,#cd6886,white,3,Samplesize,,,,yes,https://github.com/Fungisai/g_ci_spm,Matlab function for the estimation of effect size g and its confidence interval from SPM t maps.,
Systematic review,Systematic review,diamond,Cyan,white,2,Studydesign,,,,no,NA,NA,
Covidence,Covidence,ellipse,#cd6886,white,3,Systematicreview,,,,yes,https://www.covidence.org/,"This paid tool is well worth its money, because it helps you screen and decide on hundreds of papers if you're working on  a systematic review.",
Questionnaires,Questionnaires,diamond,Cyan,white,2,Studydesign,,,,no,NA,NA,
Semantic scale network,Semantic scale network,ellipse,#cd6886,white,3,ProjectStart,,,,yes,https://rosenbusch.shinyapps.io/semantic_net/,"If you want to create a new scale but are not sure whether it exists already, check the Semantic Scale Network to detect semantically related (psychological) scales. You can also add your own scales in there to extend the database.",
Design framework,Design framework,diamond,Cyan,white,2,Studydesign,,,,no,NA,NA,
Gorilla,Gorilla,ellipse,#cd6886,white,3,Design framework,,,,yes,https://gorilla.sc/?gclid=CjwKCAjw6fyXBhBgEiwAhhiZshYWN20_NN2f-nllP964f5t21bRoEJCun03fT7cDfUsqt_Zqql3xWxoCUywQAvD_BwE,,
Javascript,Javascript,ellipse,#cd6886,white,3,Design framework,,,,yes,https://www.w3schools.com/js/,JavaScript is a versatile programming language commonly used for web development to create dynamic and interactive elements on websites.,
isPsych,isPsych,ellipse,Thistle,white,4,Javascript,,,,yes,https://www.jspsych.org/7.3/,jsPsych is a JavaScript framework designed to develop behavioral experiments that can be executed within a web browser.,
Python,Python,ellipse,#cd6886,white,3,Design framework,,,,no,https://www.python.org/,"Python is a high-level programming language known for its readability and versatility, widely used in various applications including web development, data analysis, artificial intelligence, and more.",
Psychopy,Psychopy,ellipse,Thistle,white,4,Python,,,,yes,https://www.psychopy.org/,"PsychoPy is an open-source software package used for creating and conducting experiments in psychology and neuroscience, providing tools to generate various types of stimuli and collect data, often used in research and educational settings.",
Matlab,Matlab,ellipse,#cd6886,white,3,Design framework,,,,no,https://www.mathworks.com/products/matlab.html,"MATLAB is a high-level programming language and interactive environment primarily used for numerical computation, data analysis, visualization, and algorithm development, widely utilized in various scientific, engineering, and mathematical disciplines.",
Cogent toolbox,Cogent toolbox,ellipse,Thistle,white,4,Matlab,,,,yes,https://dokumen.tips/documents/cogent-toolbox-manual-v125.html,Cogent toolbox refers to a collection of tools and functions designed for creating experiments in MATLAB for cognitive psychology and neuroscience research.,
Psychtoolbox,Psychtoolbox,ellipse,Thistle,white,4,Matlab,,,,yes,http://psychtoolbox.org/,"Psychtoolbox is an open-source software package used in MATLAB and GNU Octave for creating experiments in the fields of psychology, neuroscience, and vision research. It provides a collection of functions that allow researchers to control the presentation of stimuli and the collection of responses, making it a valuable tool for conducting behavioral experiments and studies involving human perception and cognition.",
Pavlovia,Pavlovia,ellipse,#cd6886,white,3,Design framework,,,,yes,https://pavlovia.org/,"Pavlovia is an online platform that enables researchers to create, host, and share experiments developed using the PsychoPy software. It allows researchers to run experiments remotely via web browsers, making it convenient for collecting data from participants across different locations.",
